Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Components,Components,Components,Components,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Registration,JIR-1,10048,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Highest,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:15,4/1/2026 12:15,4/2/2026 11:25,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@123f2df2,,,,,ghx-label-12,,To Do,,,,grey,,,,,0|i0002n:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:15
"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",JIR-25,10072,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 14:42,4/2/2026 10:23,,,Authentication Service,Backend API,Frontend (UI),OTP / Notification Service,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e989f68,,,,,,,,,,,,,,,,0|i0007z:,,,JIR Sprint 1,,,,,,,,,,,,10049,JIR-2,User Login & Authentication,To Do,4/1/2026 14:42
Design forgot password UI,JIR-141,10291,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:58,4/2/2026 9:58,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f87ff94,,,,,,,,,,,,,,,,0|i000xr:,,,JIR Sprint 1,,,,,,,,,,,,10072,JIR-25,"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",To Do,4/2/2026 9:58
Validate registered email/mobile input,JIR-142,10293,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:58,4/2/2026 9:58,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12dd2def,,,,,,,,,,,,,,,,0|i000xz:,,,JIR Sprint 1,,,,,,,,,,,,10072,JIR-25,"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",To Do,4/2/2026 9:58
Integrate OTP/reset link service,JIR-143,10295,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:58,4/2/2026 9:58,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71978cfd,,,,,,,,,,,,,,,,0|i000y7:,,,JIR Sprint 1,,,,,,,,,,,,10072,JIR-25,"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",To Do,4/2/2026 9:58
Implement OTP verification/reset logic,JIR-144,10297,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:58,4/2/2026 9:58,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d7d6ce9,,,,,,,,,,,,,,,,0|i000yf:,,,JIR Sprint 1,,,,,,,,,,,,10072,JIR-25,"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",To Do,4/2/2026 9:58
Create API to update password,JIR-145,10299,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:58,4/2/2026 9:58,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@231a74e6,,,,,,,,,,,,,,,,0|i000yn:,,,JIR Sprint 1,,,,,,,,,,,,10072,JIR-25,"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",To Do,4/2/2026 9:58
Show success/error messages,JIR-146,10301,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1dbb18d3,,,,,,,,,,,,,,,,0|i000yv:,,,JIR Sprint 1,,,,,,,,,,,,10072,JIR-25,"As a user, I want to reset my password using email or OTP so that I can regain access to my account.",To Do,4/2/2026 9:59
"As a user, I want to be redirected to the dashboard after login so that I can access the platform features.",JIR-26,10073,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 14:47,4/2/2026 10:23,4/2/2026 9:59,,Authentication Service,Backend API,Frontend (UI),,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66a29dd6,,,,,,,,,,,,,,,,0|i00087:,,,JIR Sprint 1,,,,,,,,,,,,10050,JIR-3,Dashboard & Navigation,To Do,4/1/2026 14:47
Implement post-login redirection logic,JIR-147,10303,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fc7870f,,,,,,,,,,,,,,,,0|i000z3:,,,JIR Sprint 1,,,,,,,,,,,,10073,JIR-26,"As a user, I want to be redirected to the dashboard after login so that I can access the platform features.",To Do,4/2/2026 9:59
Validate user authentication before redirect,JIR-148,10305,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ff59a70,,,,,,,,,,,,,,,,0|i000zb:,,,JIR Sprint 1,,,,,,,,,,,,10073,JIR-26,"As a user, I want to be redirected to the dashboard after login so that I can access the platform features.",To Do,4/2/2026 9:59
Handle invalid session redirection to login,JIR-149,10307,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f0c854f,,,,,,,,,,,,,,,,0|i000zj:,,,JIR Sprint 1,,,,,,,,,,,,10073,JIR-26,"As a user, I want to be redirected to the dashboard after login so that I can access the platform features.",To Do,4/2/2026 9:59
Integrate backend authentication check,JIR-150,10309,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39a608b1,,,,,,,,,,,,,,,,0|i000zr:,,,JIR Sprint 1,,,,,,,,,,,,10073,JIR-26,"As a user, I want to be redirected to the dashboard after login so that I can access the platform features.",To Do,4/2/2026 9:59
"As a user, I want my session to be maintained so that I don’t have to log in repeatedly.",JIR-27,10074,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 14:47,4/2/2026 10:23,4/2/2026 9:59,,Authentication Service,Backend API,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29a9e6a0,,,,,,,,,,,,,,,,0|i0008f:,,,JIR Sprint 1,,,,,,,,,,,,10050,JIR-3,Dashboard & Navigation,To Do,4/1/2026 14:47
Implement session/token storage,JIR-151,10311,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1041af4a,,,,,,,,,,,,,,,,0|i000zz:,,,JIR Sprint 1,,,,,,,,,,,,10074,JIR-27,"As a user, I want my session to be maintained so that I don’t have to log in repeatedly.",To Do,4/2/2026 9:59
Maintain session across pages,JIR-152,10313,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:59,4/2/2026 9:59,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73c680c9,,,,,,,,,,,,,,,,0|i00107:,,,JIR Sprint 1,,,,,,,,,,,,10074,JIR-27,"As a user, I want my session to be maintained so that I don’t have to log in repeatedly.",To Do,4/2/2026 9:59
Implement session expiry logic,JIR-153,10315,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c33ef8a,,,,,,,,,,,,,,,,0|i0010f:,,,JIR Sprint 1,,,,,,,,,,,,10074,JIR-27,"As a user, I want my session to be maintained so that I don’t have to log in repeatedly.",To Do,4/2/2026 10:00
Redirect to login on session expiry,JIR-154,10317,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ecc0147,,,,,,,,,,,,,,,,0|i0010n:,,,JIR Sprint 1,,,,,,,,,,,,10074,JIR-27,"As a user, I want my session to be maintained so that I don’t have to log in repeatedly.",To Do,4/2/2026 10:00
"As a user, I want to search for courses so that I can find relevant content easily.",JIR-28,10075,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 14:47,4/2/2026 10:23,4/2/2026 10:00,,Backend API,Frontend (UI),,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d450ed5,,,,,,,,,,,,,,,,0|i0008n:,,,JIR Sprint 1,,,,,,,,,,,,10050,JIR-3,Dashboard & Navigation,To Do,4/1/2026 14:47
Design search bar UI,JIR-155,10319,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7428c218,,,,,,,,,,,,,,,,0|i0010v:,,,JIR Sprint 1,,,,,,,,,,,,10075,JIR-28,"As a user, I want to search for courses so that I can find relevant content easily.",To Do,4/2/2026 10:00
Implement minimum character validation,JIR-156,10321,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26dc817,,,,,,,,,,,,,,,,0|i00113:,,,JIR Sprint 1,,,,,,,,,,,,10075,JIR-28,"As a user, I want to search for courses so that I can find relevant content easily.",To Do,4/2/2026 10:00
Create search API (Backend),JIR-157,10323,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ed66ebd,,,,,,,,,,,,,,,,0|i0011b:,,,JIR Sprint 1,,,,,,,,,,,,10075,JIR-28,"As a user, I want to search for courses so that I can find relevant content easily.",To Do,4/2/2026 10:00
Integrate auto-suggestions,JIR-158,10325,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f2d980,,,,,,,,,,,,,,,,0|i0011j:,,,JIR Sprint 1,,,,,,,,,,,,10075,JIR-28,"As a user, I want to search for courses so that I can find relevant content easily.",To Do,4/2/2026 10:00
Handle “No courses found” case,JIR-159,10327,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43a00d1a,,,,,,,,,,,,,,,,0|i0011r:,,,JIR Sprint 1,,,,,,,,,,,,10075,JIR-28,"As a user, I want to search for courses so that I can find relevant content easily.",To Do,4/2/2026 10:00
"As a user, I want to access profile options so that I can manage my account.",JIR-29,10076,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 14:47,4/2/2026 10:23,4/2/2026 10:00,,Frontend (UI),,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11844182,,,,,,,,,,,,,,,,0|i0008v:,,,JIR Sprint 1,,,,,,,,,,,,10050,JIR-3,Dashboard & Navigation,To Do,4/1/2026 14:47
Create profile icon UI,JIR-160,10329,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59887557,,,,,,,,,,,,,,,,0|i0011z:,,,JIR Sprint 1,,,,,,,,,,,,10076,JIR-29,"As a user, I want to access profile options so that I can manage my account.",To Do,4/2/2026 10:00
Implement dropdown menu,JIR-161,10331,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b2ee1f7,,,,,,,,,,,,,,,,0|i00127:,,,JIR Sprint 1,,,,,,,,,,,,10076,JIR-29,"As a user, I want to access profile options so that I can manage my account.",To Do,4/2/2026 10:00
"Add options (Profile, Courses, Logout)",JIR-162,10333,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2638b4b2,,,,,,,,,,,,,,,,0|i0012f:,,,JIR Sprint 1,,,,,,,,,,,,10076,JIR-29,"As a user, I want to access profile options so that I can manage my account.",To Do,4/2/2026 10:00
Handle navigation for each option,JIR-163,10335,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:00,4/2/2026 10:00,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22fd1291,,,,,,,,,,,,,,,,0|i0012n:,,,JIR Sprint 1,,,,,,,,,,,,10076,JIR-29,"As a user, I want to access profile options so that I can manage my account.",To Do,4/2/2026 10:00
"As a user, I want to log out so that I can securely exit my account.",JIR-30,10077,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 14:48,4/2/2026 10:23,4/2/2026 10:01,,Authentication Service,Backend API,Frontend (UI),,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d0c0b96,,,,,,,,,,,,,,,,0|i00093:,,,JIR Sprint 1,,,,,,,,,,,,10050,JIR-3,Dashboard & Navigation,To Do,4/1/2026 14:48
Implement logout button action,JIR-164,10337,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:01,4/2/2026 10:01,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12b28612,,,,,,,,,,,,,,,,0|i0012v:,,,JIR Sprint 1,,,,,,,,,,,,10077,JIR-30,"As a user, I want to log out so that I can securely exit my account.",To Do,4/2/2026 10:01
Clear session/token data,JIR-165,10339,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:01,4/2/2026 10:01,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6848518c,,,,,,,,,,,,,,,,0|i00133:,,,JIR Sprint 1,,,,,,,,,,,,10077,JIR-30,"As a user, I want to log out so that I can securely exit my account.",To Do,4/2/2026 10:01
Redirect to login page,JIR-166,10341,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:01,4/2/2026 10:01,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a7ed96c,,,,,,,,,,,,,,,,0|i0013b:,,,JIR Sprint 1,,,,,,,,,,,,10077,JIR-30,"As a user, I want to log out so that I can securely exit my account.",To Do,4/2/2026 10:01
Prevent access after logout,JIR-167,10343,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 10:01,4/2/2026 10:01,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dc6b429,,,,,,,,,,,,,,,,0|i0013j:,,,JIR Sprint 1,,,,,,,,,,,,10077,JIR-30,"As a user, I want to log out so that I can securely exit my account.",To Do,4/2/2026 10:01
